wavelength,n_amorphous,n_crystalline,k_amorphous,k_crystalline
968.73193,3.02269,3.5695,0.0,0.0
970.28552,3.02188,3.5689,0.0,0.0
971.83899,3.02107,3.56832,0.0,0.0
973.39197,3.02027,3.56777,0.0,0.0
974.94495,3.01947,3.56724,0.0,0.0
976.49756,3.01869,3.56673,0.0,0.0
978.04993,3.0179,3.56624,0.0,0.0
979.60205,3.01713,3.56577,0.0,0.0
981.15393,3.01635,3.56532,0.0,0.0
982.70544,3.01559,3.56489,0.0,0.0
984.25684,3.01483,3.56448,0.0,0.0
985.80798,3.01407,3.56409,0.0,0.0
987.35889,3.01332,3.56372,0.0,0.0
988.90949,3.01258,3.56337,0.0,0.0
990.45978,3.01184,3.56303,0.0,0.0
992.00989,3.0111,3.56294,0.0,0.0
993.55975,3.01037,3.56244,0.0,0.0
995.10925,3.00965,3.56194,0.0,0.0
996.65857,3.00893,3.56144,0.0,0.0
998.2077,3.00822,3.56094,0.0,0.0
999.75647,3.00751,3.56044,0.0,0.0
1011.72327,3.0022,3.55994,0.0,0.0
1015.18591,3.00071,3.55944,0.0,0.0
1018.64862,2.99925,3.55894,0.0,0.0
1022.11133,2.99781,3.55844,0.0,0.0
1025.57398,2.99639,3.55794,0.0,0.0
1029.03687,2.995,3.55744,0.0,0.0
1032.49963,2.99362,3.55694,0.0,0.0
1035.9624,2.99226,3.55644,0.0,0.0
1039.42529,2.99093,3.55594,0.0,0.0
1042.88818,2.98962,3.55544,0.0,0.0
1046.35107,2.98832,3.55494,0.0,0.0
1049.81397,2.98705,3.55444,0.0,0.0
1053.27698,2.98579,3.55394,0.0,0.0
1056.73987,2.98455,3.55344,0.0,0.0
1060.20288,2.98333,3.55294,0.0,0.0
1063.66577,2.98213,3.55244,0.0,0.0
1067.12866,2.98094,3.55194,0.0,0.0
1070.59167,2.97978,3.55144,0.0,0.0
1074.05469,2.97863,3.55094,0.0,0.0
1077.5177,2.97749,3.55044,0.0,0.0
1080.98059,2.97638,3.54994,0.0,0.0
1084.4436,2.97527,3.54944,0.0,0.0
1087.90649,2.97419,3.54894,0.0,0.0
1091.36951,2.97312,3.54844,0.0,0.0
1094.8324,2.97207,3.54794,0.0,0.0
1098.29529,2.97103,3.54744,0.0,0.0
1101.7583,2.97001,3.54694,0.0,0.0
1105.22119,2.969,3.54644,0.0,0.0
1108.68408,2.968,3.54594,0.0,0.0
1112.14685,2.96702,3.54544,0.0,0.0
1115.60974,2.96606,3.54494,0.0,0.0
1119.07251,2.96511,3.54444,0.0,0.0
1122.53528,2.96417,3.54394,0.0,0.0
1125.99805,2.96324,3.54344,0.0,0.0
1129.46069,2.96233,3.54294,0.0,0.0
1132.92346,2.96143,3.54244,0.0,0.0
1136.38599,2.96054,3.54194,0.0,0.0
1139.84863,2.95967,3.54144,0.0,0.0
1143.31128,2.95881,3.54094,0.0,0.0
1146.77368,2.95796,3.54044,0.0,0.0
1150.23621,2.95712,3.53994,0.0,0.0
1153.69861,2.95629,3.53944,0.0,0.0
1157.16089,2.95548,3.53894,0.0,0.0
1160.62329,2.95467,3.53844,0.0,0.0
1164.08557,2.95388,3.53794,0.0,0.0
1167.54773,2.9531,3.53744,0.0,0.0
1171.00989,2.95233,3.53694,0.0,0.0
1174.47192,2.95157,3.53644,0.0,0.0
1177.93396,2.95082,3.53594,0.0,0.0
1181.396,2.95008,3.53544,0.0,0.0
1184.85779,2.94935,3.53494,0.0,0.0
1188.31958,2.94863,3.53444,0.0,0.0
1191.78137,2.94792,3.53394,0.0,0.0
1195.24304,2.94722,3.53344,0.0,0.0
1198.70471,2.94653,3.53294,0.0,0.0
1202.16614,2.94585,3.53244,0.0,0.0
1205.62756,2.94518,3.53194,0.0,0.0
1209.08899,2.94451,3.53144,0.0,0.0
1212.55017,2.94386,3.53094,0.0,0.0
1216.01135,2.94321,3.53044,0.0,0.0
1219.47241,2.94257,3.52994,0.0,0.0
1222.93335,2.94195,3.52944,0.0,0.0
1226.39429,2.94132,3.52894,0.0,0.0
1229.85523,2.94071,3.52844,0.0,0.0
1233.3158,2.9401,3.52794,0.0,0.0
1236.77649,2.93951,3.52744,0.0,0.0
1240.23694,2.93892,3.52694,0.0,0.0
1243.69727,2.93833,3.52644,0.0,0.0
1247.15759,2.93776,3.52594,0.0,0.0
1250.6178,2.93719,3.52544,0.0,0.0
1254.07788,2.93663,3.52494,0.0,0.0
1257.53784,2.93607,3.52444,0.0,0.0
1260.99756,2.93553,3.52394,0.0,0.0
1264.45728,2.93498,3.52344,0.0,0.0
1267.91687,2.93445,3.52294,0.0,0.0
1271.37634,2.93392,3.52244,0.0,0.0
1274.83569,2.9334,3.52194,0.0,0.0
1278.29492,2.93288,3.52144,0.0,0.0
1281.75403,2.93237,3.52094,0.0,0.0
1285.21301,2.93187,3.52044,0.0,0.0
1288.67175,2.93137,3.51994,0.0,0.0
1292.13049,2.93088,3.51944,0.0,0.0
1295.58899,2.93039,3.51894,0.0,0.0
1299.04736,2.92991,3.51844,0.0,0.0
1302.50562,2.92943,3.51794,0.0,0.0
1305.96375,2.92896,3.51744,0.0,0.0
1309.42175,2.9285,3.51694,0.0,0.0
1312.87964,2.92804,3.51644,0.0,0.0
1316.33716,2.92758,3.51594,0.0,0.0
1319.79468,2.92713,3.51544,0.0,0.0
1323.25208,2.92669,3.51494,0.0,0.0
1326.70923,2.92625,3.51444,0.0,0.0
1330.16626,2.92581,3.51394,0.0,0.0
1333.62329,2.92538,3.51344,0.0,0.0
1337.07983,2.92495,3.51294,0.0,0.0
1340.53638,2.92453,3.51244,0.0,0.0
1343.99292,2.92411,3.51194,0.0,0.0
1347.44898,2.9237,3.51144,0.0,0.0
1350.90503,2.92329,3.51094,0.0,0.0
1354.36096,2.92288,3.51044,0.0,0.0
1357.81665,2.92248,3.50994,0.0,0.0
1361.2721,2.92209,3.50944,0.0,0.0
1364.72729,2.92169,3.50894,0.0,0.0
1368.1825,2.9213,3.50844,0.0,0.0
1371.63745,2.92092,3.50794,0.0,0.0
1375.09216,2.92054,3.50744,0.0,0.0
1378.54675,2.92016,3.50694,0.0,0.0
1382.00122,2.91978,3.50644,1.3e-05,0.0
1385.45532,2.91941,3.50594,8.2e-05,0.0
1388.9093,2.91905,3.50544,0.000149,0.0
1392.36304,2.91868,3.50494,0.000216,0.0
1395.81665,2.91832,3.50444,0.000281,0.0
1399.27002,2.91796,3.50394,0.000345,0.0
1402.72314,2.91761,3.50344,0.000408,0.0
1406.17603,2.91726,3.50294,0.000469,0.0
1409.62878,2.91691,3.50244,0.00053,0.0
1413.0813,2.91657,3.50194,0.000589,0.0
1416.53369,2.91622,3.50144,0.000648,0.0
1419.98572,2.91588,3.50094,0.000705,0.0
1423.43762,2.91555,3.50044,0.000761,0.0
1426.88928,2.91522,3.49994,0.000816,0.0
1430.3407,2.91489,3.49944,0.000869,0.0
