g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_design_um,P_antisym,P_sym,ER_dB
300.00000000000006,10.0,20.0,0.175080904554626,0.014842974323025004,-0.160237930231601,0.9693466768603339,0.999779686113246,42122.801526443065,40452.99402586745,0.006550705642725809,0.00672816098055338,2.954433514423033,0.0,1,2,1,2,38.830162380328616,0.962730706346678,0.999779686113246,0.16399484471719686
300.00000000000006,10.0,25.000000000000004,0.16001247114798606,0.014873720986829764,-0.1451387501611563,0.9743960090771149,0.9997787724240059,42004.88288454599,40586.83850360405,0.005997999771025184,0.006160885382058584,2.7457004017265874,0.0,1,2,1,2,38.70211094799641,0.9690900141269525,0.9997787724240059,0.13539792998012082
300.00000000000006,10.0,30.000000000000004,0.1461091504331748,0.014900996881813733,-0.13120815355136106,0.9786521161596959,0.9997779602919282,41911.18889109107,40706.75578092325,0.005497671621792417,0.005647267915322007,2.54791696641842,0.0,1,2,1,2,38.58809911673266,0.9743313869395123,0.9997779602919282,0.11196865611692212
300.00000000000006,10.0,35.0,0.1332925483491773,0.014925755586889633,-0.11836679276228768,0.9822330965545822,0.9997772218201604,41837.22675819943,40814.15451122588,0.0050432676832686575,0.005180752185070578,2.3614796859914993,0.0,1,2,1,2,38.48655804845476,0.9786608772300491,0.9997772218201604,0.09271010498841722
300.00000000000006,10.0,40.0,0.12148670229572417,0.014948407574993161,-0.10653829472073101,0.9852409811653101,0.9997765451109719,41779.26632456168,40910.27934112085,0.004629568870877041,0.004756009659013551,2.1864778829323797,0.0,1,2,1,2,38.39612811482358,0.9822439611559166,0.9997765451109719,0.07683576484563721
300.00000000000006,10.0,45.00000000000001,0.11061830186568489,0.014969183560771926,-0.09564911830491296,0.9877635912923522,0.999775923543524,41734.22404150776,40996.23926460874,0.0042522288121018765,0.004368589702857173,2.0227747201149864,0.0,1,2,1,2,38.31562004154207,0.9852142579980623,0.999775923543524,0.06371985614490308
300.00000000000006,10.0,50.00000000000001,0.10061727431066314,0.014988243154181569,-0.08562903115648157,0.9898761641102928,0.9997753525671511,41699.55988624242,41073.027939980704,0.003907548791165323,0.004014698369417563,1.8700711031998551,0.0,1,2,1,2,38.24398651811777,0.9876801149643109,0.9997753525671511,0.052861157250565394
310.0,10.0,0.0,0.26521752946583604,0.013644999587850815,-0.25157252987798523,0.9296596620640384,0.9998138139862476,40249.873696533934,36712.18227158661,0.009326759308612043,0.009591966588830679,3.83694363883439,0.0,1,2,1,2,42.78678709902283,0.9050937838921731,0.9998138139862476,0.43225550706232196
310.0,10.0,5.0,0.2416233422213316,0.013769540725387941,-0.22785380149594367,0.9416181604937932,0.9998103997482118,39851.56717078915,36954.22195357119,0.00862327044005543,0.008851634037134216,3.5696357202352527,0.0,1,2,1,2,42.506545768124276,0.9241737841985345,0.9998103997482118,0.3416400501295247
310.0,10.0,10.0,0.2235319319686384,0.013862251229610434,-0.20966968073902797,0.950033475390368,0.9998078379908472,39588.58298778901,37129.954833926,0.007848438378481995,0.008058983597391278,3.3483683799287074,0.0,1,2,1,2,42.30536594565541,0.9367319945323427,0.9998078379908472,0.2830118305978995
